id,prescriber_last_name,prescriber_first_name,drug_name,drug_cost
1952310666,A'BODJEDI,ENENGE,ALPRAZOLAM,1964.49
1952310666,A'BODJEDI,ENENGE,AMANTADINE,1129.94
1952310666,A'BODJEDI,ENENGE,AMBIEN,4792.29
1952310666,A'BODJEDI,ENENGE,AMBIEN CR,4792.29
1952310666,A'BODJEDI,ENENGE,AMITRIPTYLINE HCL,692.78
1952310666,A'BODJEDI,ENENGE,ARIPIPRAZOLE,8374.44
1952310666,A'BODJEDI,ENENGE,BENZTROPINE MESYLATE,1868.72
1952310666,A'BODJEDI,ENENGE,BUPROPION XL,3111.04
1952310666,A'BODJEDI,ENENGE,BUSPIRONE HCL,837.7
1952310666,A'BODJEDI,ENENGE,CHLORPROMAZINE HCL,26826.62
1952310666,A'BODJEDI,ENENGE,CITALOPRAM HBR,422.3
1952310666,A'BODJEDI,ENENGE,CLOMIPRAMINE HCL,8886.79
1952310666,A'BODJEDI,ENENGE,CLONAZEPAM,1848.88
1952310666,A'BODJEDI,ENENGE,CLOZAPINE,6275.67
1952310666,A'BODJEDI,ENENGE,DESIPRAMINE HCL,1210.35
1952310666,A'BODJEDI,ENENGE,DEXTROAMPHETAMINE-AMPHETAMINE,1728.4
1952310666,A'BODJEDI,ENENGE,DIAZEPAM,662.87
1952310666,A'BODJEDI,ENENGE,DIVALPROEX SODIUM,1083.57
1952310666,A'BODJEDI,ENENGE,DIVALPROEX SODIUM ER,14448.59
1952310666,A'BODJEDI,ENENGE,DONEPEZIL HCL,115.39
1952310666,A'BODJEDI,ENENGE,DOXEPIN HCL,270.66
1952310666,A'BODJEDI,ENENGE,DULOXETINE HCL,1214.05
1952310666,A'BODJEDI,ENENGE,ESCITALOPRAM OXALATE,902.52
1952310666,A'BODJEDI,ENENGE,FANAPT,11967.55
1952310666,A'BODJEDI,ENENGE,FETZIMA,12320.7
1952310666,A'BODJEDI,ENENGE,FLUOXETINE HCL,933.88
1952310666,A'BODJEDI,ENENGE,FLUPHENAZINE DECANOATE,4736.79
1952310666,A'BODJEDI,ENENGE,FLUPHENAZINE HCL,1323.9
1952310666,A'BODJEDI,ENENGE,FLUVOXAMINE MALEATE,192.64
1952310666,A'BODJEDI,ENENGE,GABAPENTIN,1807.16
1952310666,A'BODJEDI,ENENGE,HALOPERIDOL,830.99
1952310666,A'BODJEDI,ENENGE,HYDROXYZINE HCL,945.5
1952310666,A'BODJEDI,ENENGE,INVEGA SUSTENNA,75345.68
1952310666,A'BODJEDI,ENENGE,LAMOTRIGINE,331.39
1952310666,A'BODJEDI,ENENGE,LATUDA,104040.59
1952310666,A'BODJEDI,ENENGE,LITHIUM CARBONATE,114.22
1952310666,A'BODJEDI,ENENGE,LITHIUM CARBONATE ER,371.0
1952310666,A'BODJEDI,ENENGE,LORAZEPAM,1470.02
1952310666,A'BODJEDI,ENENGE,MIRTAZAPINE,521.88
1952310666,A'BODJEDI,ENENGE,NORTRIPTYLINE HCL,88.47
1952310666,A'BODJEDI,ENENGE,OLANZAPINE,4020.95
1952310666,A'BODJEDI,ENENGE,OLANZAPINE ODT,618.13
1952310666,A'BODJEDI,ENENGE,OLEPTRO ER,2919.43
1952310666,A'BODJEDI,ENENGE,OXCARBAZEPINE,687.17
1952310666,A'BODJEDI,ENENGE,PAROXETINE HCL,923.73
1952310666,A'BODJEDI,ENENGE,PERPHENAZINE,2891.51
1952310666,A'BODJEDI,ENENGE,PRISTIQ ER,7056.32
1952310666,A'BODJEDI,ENENGE,QUETIAPINE FUMARATE,5473.43
1952310666,A'BODJEDI,ENENGE,RISPERIDONE,4419.71
